小区编号,小区栋数,小区户数（户）,小区人口数（人）,小区横坐标,小区纵坐标,街道编号,所属区域
493,11,715,1571,46.63425,41.479,A0060,朝阳区
494,2,252,784,42.5045,34.16866667,A0059,朝阳区
495,13,281,858,54.4355,43.782,A0007,朝阳区
496,4,644,1344,45.49325,34.45,A0054,朝阳区
497,10,392,820,48.021,41.076,A0050,朝阳区
498,30,2256,4646,50.2395,25.48766667,A0010,朝阳区
499,24,848,2412,53.869,40.47,A0046,朝阳区
500,11,395,1007,47.5845,41.40233333,A0062,朝阳区
501,4,413,1434,46.6875,40.463,A0051,朝阳区
502,16,729,1858,48.628,43.672,A0062,朝阳区
503,2,126,278,54.235,41.44333333,A0005,朝阳区
504,35,1103,2278,54.555,39.28433333,A0020,朝阳区
505,17,743,2246,47.8065,37.56533333,A0053,朝阳区
506,4,365,762,46.65775,35.38066667,A0054,朝阳区
507,42,1628,3465,53.2655,39.483,A0047,朝阳区
508,5,360,904,45.3195,38.03233333,A0056,朝阳区
509,7,651,1456,43.482,31.97533333,A0011,朝阳区
510,13,629,1392,44.97475,36.96333333,A0055,朝阳区
511,7,302,666,54.8445,41.85566667,A0005,朝阳区
512,7,266,557,48.075,41.716,A0050,朝阳区
513,29,1297,2761,50.03725,40.495,A0047,朝阳区
514,9,335,1013,48.37025,35.10233333,A0053,朝阳区
515,7,477,996,45.97875,36.11966667,A0054,朝阳区
516,24,915,1948,53.672,41.37966667,A0047,朝阳区
517,7,291,601,54.2435,39.64866667,A0020,朝阳区
518,3,582,1202,55.179,39.30433333,A0020,朝阳区
519,16,1151,2450,52.75475,40.409,A0047,朝阳区
520,19,1023,2534,50.47725,40.689,A0048,朝阳区
521,5,240,611,47.56025,41.979,A0062,朝阳区
522,9,425,958,53.7865,36.51966667,A0015,朝阳区
523,3,339,1062,56.7315,47.796,A0004,朝阳区
524,3,309,638,56.0295,37.85766667,A0020,朝阳区
525,9,500,1118,50.72,44.068,A0042,朝阳区
526,7,223,509,55.548,32.10533333,A0026,朝阳区
527,29,1724,3865,49.87525,29.77433333,A0067,朝阳区
528,13,336,1045,42.33675,35.782,A0069,朝阳区
529,6,180,560,43.65725,35.41066667,A0059,朝阳区
530,9,250,559,50.00225,46.30466667,A0042,朝阳区
531,4,224,777,46.719,38.424,A0051,朝阳区
532,13,506,1071,53.156,26.024,A0009,朝阳区
533,4,371,815,46.63775,41.38666667,A0060,朝阳区
534,12,265,535,55.15775,31.516,A0065,朝阳区
535,17,418,864,54.2205,39.185,A0020,朝阳区
536,4,223,466,50.1485,41.49733333,A0050,朝阳区
537,8,467,975,46.3,36.04,A0054,朝阳区
538,22,1434,3061,35.04125,46.06633333,D0012,绿园区
539,18,1385,2955,35.78375,45.82933333,D0012,绿园区
540,6,1423,4838,43.1275,45.79266667,D0030,绿园区
541,32,1282,3315,39.8,45.71633333,D0007,绿园区
542,43,2207,8092,39.568,49.321,D0008,绿园区
543,48,2747,6062,47.31625,45.98333333,D0028,绿园区
544,7,1010,2312,43.67225,54.25733333,D0022,绿园区
545,11,2408,5405,35.624,50.11233333,D0041,绿园区
546,28,2783,6944,29.79675,42.281,D0047,绿园区
547,10,889,1897,35.02825,46.675,D0012,绿园区
548,34,1312,3208,34.26675,42.40666667,D0045,绿园区
549,20,1027,2267,45.78525,45.30866667,D0028,绿园区
550,18,923,1934,44.6105,53.119,D0037,绿园区
551,12,647,1380,35.0735,45.227,D0012,绿园区
552,20,954,2095,46.4025,43.75466667,D0014,绿园区
553,46,2467,5588,32.53,52.174,D0040,绿园区
554,15,924,2260,34.33675,43.59466667,D0045,绿园区
555,14,970,2145,35.629,50.05933333,D0044,绿园区
556,18,719,2760,33.1775,42.38633333,D0049,绿园区
557,14,1047,2114,47.366,45.23933333,D0025,绿园区
558,5,995,3005,43.24025,45.27466667,D0015,绿园区
559,20,808,1694,44.4765,52.292,D0037,绿园区
560,32,2076,4222,49.36425,56.68033333,D0023,绿园区
561,60,3660,7960,41.21725,48.24633333,D0011,绿园区
562,21,1422,3065,36.7195,48.45733333,D0005,绿园区
563,14,1660,3726,35.624,50.11233333,D0041,绿园区
564,18,961,2408,37.8465,47.519,D0006,绿园区
565,19,1204,2477,42.05525,49.45933333,D0009,绿园区
566,14,778,1692,41.37775,46.76933333,D0011,绿园区
567,22,1278,2599,49.14275,57.58566667,D0023,绿园区
568,11,970,2509,39.07975,46.93766667,D0007,绿园区
569,10,603,1287,37.43075,45.897,D0012,绿园区
570,28,2324,6166,28.55,38.35866667,D0046,绿园区
571,8,818,2115,38.8615,45.574,D0007,绿园区
572,6,788,2995,39.739,53.35133333,D0039,绿园区
573,3,684,1383,45.05125,43.313,D0013,绿园区
574,12,1044,2176,49.41125,47.59333333,D0003,绿园区
575,20,2340,6118,20.86425,36.69133333,D0048,绿园区
576,5,269,813,43.9975,45.271,D0015,绿园区
577,26,1503,3201,49.48675,50.01966667,D0032,绿园区
578,10,1470,5389,39.75725,47.323,D0008,绿园区
579,7,414,1055,47.391,44.502,D0027,绿园区
580,7,971,1963,45.5165,43.96266667,D0013,绿园区
581,11,581,1173,48.26725,48.24566667,D0025,绿园区
582,11,482,1706,41.27275,45.67833333,D0010,绿园区
583,10,892,2848,46.7935,54.13466667,D0019,绿园区
584,16,735,1650,34.1385,49.463,D0041,绿园区
585,4,433,1532,40.96225,45.432,D0010,绿园区
586,28,1419,2919,41.84125,50.374,D0009,绿园区
587,15,1786,4790,37.123,53.44566667,D0051,绿园区
588,11,1290,2896,34.5815,50.46933333,D0041,绿园区
589,22,1513,3860,44.2135,58.36333333,D0038,绿园区
590,5,599,1527,47.12575,44.69833333,D0027,绿园区
591,5,626,1264,47.37,47.072,D0025,绿园区
592,9,458,1147,39.09775,46.10833333,D0006,绿园区
593,19,1387,3184,48.77825,50.22066667,D0033,绿园区
594,2,592,1196,47.78025,49.28466667,D0025,绿园区
595,15,677,1770,20.9755,35.867,D0048,绿园区
596,11,468,1193,47.34075,43.64433333,D0027,绿园区
597,2,140,424,43.77475,45.28366667,D0015,绿园区
598,16,1078,2192,51.5345,58.5,D0023,绿园区
599,8,533,1886,41.64175,47.092,D0010,绿园区
600,8,638,1337,43.78175,53.32033333,D0037,绿园区
601,14,680,1556,45.502,53.80466667,D0022,绿园区
602,21,1472,2993,50.775,55.87533333,D0023,绿园区
603,7,421,850,47.5545,48.541,D0033,绿园区
604,3,383,976,47.8545,43.737,D0027,绿园区
605,5,304,679,48.021,46.429,D0002,绿园区
606,5,344,789,48.011,48.96766667,D0032,绿园区
607,5,361,807,48.397,45.76466667,D0002,绿园区
608,21,1439,3671,44.665,56.74,D0038,绿园区
609,8,362,795,46.28875,45.20933333,D0014,绿园区
610,4,209,446,37.0845,46.06733333,D0012,绿园区
611,6,1582,3583,43.22375,46.26966667,D0026,绿园区
612,10,680,1419,45.09475,47.666,D0024,绿园区
613,5,336,1189,41.4915,45.85866667,D0010,绿园区
614,9,980,3724,39.739,53.35133333,D0039,绿园区
615,18,918,1978,35.624,50.11233333,D0005,绿园区
616,7,397,1200,47.15725,49.52766667,D0035,绿园区
617,30,1899,4089,47.44775,54.64533333,D0016,绿园区
618,11,978,2624,36.52025,51.23,D0051,绿园区
619,5,444,1003,44.88975,51.34666667,D0036,绿园区
620,27,3228,6956,38.82125,53.44833333,D0005,绿园区
621,5,208,521,38.09575,45.86866667,D0006,绿园区
622,17,743,1549,48.39025,47.46,D0003,绿园区
623,6,475,1146,37.28325,51.09366667,D0052,绿园区
624,12,811,1699,43.11575,53.84833333,D0037,绿园区
625,13,362,1124,40.3255,44.046,D0054,绿园区
626,11,592,1337,45.159,50.39766667,D0036,绿园区
627,17,1174,2461,41.02175,53.96666667,D0037,绿园区
628,6,242,855,42.5085,45.96166667,D0010,绿园区
629,34,1536,3105,45.3235,44.192,D0013,绿园区
630,28,2803,8095,30.239,45.66866667,D0056,绿园区
631,6,256,625,44.81025,49.60566667,D0029,绿园区
632,5,610,1279,42.5595,53.45533333,D0037,绿园区
633,7,795,1659,46.7115,48.424,D0024,绿园区
634,5,274,583,48.88675,49.21633333,D0032,绿园区
635,10,846,1740,41.299,49.79066667,D0009,绿园区
636,7,219,549,39.46475,47.00133333,D0006,绿园区
637,20,1087,2488,45.08575,54.329,D0022,绿园区
638,2,224,464,43.86075,44.92266667,D0031,绿园区
639,23,1346,2721,46.63775,41.38666667,D0013,绿园区
640,9,471,958,49.9785,57.641,D0023,绿园区
641,3,173,612,42.047,46.05033333,D0010,绿园区
642,2,224,676,47.54325,50.172,D0035,绿园区
643,5,388,973,38.01225,48.07533333,D0006,绿园区
644,12,703,1446,42.44825,48.52366667,D0009,绿园区
645,4,307,639,48.72725,45.49433333,D0003,绿园区
646,5,393,837,51.33875,51.08666667,D0003,绿园区
647,13,519,1082,50.74475,47.064,D0004,绿园区
648,5,421,871,46.087,56.80866667,D0021,绿园区
649,9,470,1012,46.68775,55.128,D0016,绿园区
650,3,233,824,41.776,45.16966667,D0010,绿园区
651,3,273,966,41.7265,46.20166667,D0010,绿园区
652,7,467,964,51.85575,57.56466667,D0020,绿园区
653,4,187,661,41.4705,46.16133333,D0010,绿园区
654,14,1809,3640,26.44625,45.28466667,D0050,绿园区
655,5,186,658,41.43275,45.35733333,D0010,绿园区
656,56,3101,6971,46.866,56.81233333,D0017,绿园区
657,11,1019,2457,33.16275,50.746,D0052,绿园区
658,12,646,1619,37.7585,49.22666667,D0006,绿园区
659,2,170,528,41.815,45.805,D0054,绿园区
660,14,2190,5006,31.958,45.43566667,D0057,绿园区
661,10,1243,3115,36.48825,50.67066667,D0006,绿园区
662,3,182,381,45.081,46.08,D0024,绿园区
663,4,815,1677,43.05775,48.89133333,D0009,绿园区
664,5,380,973,46.42325,53.36533333,D0034,绿园区
665,27,996,2120,31.69975,52.71233333,D0053,绿园区
666,5,829,1714,46.27425,58.042,D0021,绿园区
667,18,894,2281,44.49675,57.40733333,D0038,绿园区
668,6,420,868,51.33875,51.08666667,D0020,绿园区
669,8,586,1468,39.848,47.087,D0006,绿园区
670,10,1427,2980,46.759,45.52733333,D0024,绿园区
671,17,696,2103,49.63,49.40833333,D0035,绿园区
672,11,1074,2221,45.32775,55.834,D0021,绿园区
673,4,784,2721,39.739,53.35133333,D0042,绿园区
674,6,247,499,46.067,44.528,D0024,绿园区
675,8,650,1362,43.9625,54.09233333,D0037,绿园区
676,8,417,848,50.416,56.152,D0023,绿园区
677,4,259,541,47.0945,47.16133333,D0024,绿园区
678,5,301,627,46.8525,55.565,D0018,绿园区
679,13,733,1536,45.16475,55.17866667,D0037,绿园区
680,3,80,168,47.12,48.88633333,D0024,绿园区
681,3,1451,4506,37.3645,45.03366667,D0054,绿园区
682,4,308,645,42.64325,52.67766667,D0037,绿园区
683,12,599,1275,29.58725,51.553,D0053,绿园区
684,4,149,311,47.38275,44.07366667,D0004,绿园区
685,8,445,1006,45.159,50.39766667,D0036,绿园区
686,13,486,1469,50.58,47.52766667,D0035,绿园区
687,10,486,1000,38.23525,50.45433333,D0009,绿园区
688,6,491,1109,45.0855,50.56266667,D0036,绿园区
689,6,476,992,48.18475,56.37733333,D0018,绿园区
690,3,374,774,45.294,44.578,D0031,绿园区
691,9,783,2078,29.422,40.84266667,D0046,绿园区
692,7,862,1947,43.7775,53.821,D0036,绿园区
693,6,323,665,39.99,52.482,D0009,绿园区
694,12,470,1121,35.18825,51.40666667,D0043,绿园区
695,47,2779,6875,30.21975,39.716,D0055,绿园区
696,2,450,1016,44.574,52.731,D0036,绿园区
697,2,144,298,43.5765,45.002,D0031,绿园区
698,24,1394,3567,50.58,47.52766667,D0034,绿园区
699,2,488,1018,46.265,46.29633333,D0024,绿园区
700,2,108,336,42.16475,46.21166667,D0054,绿园区
701,4,120,373,38.50225,47.39166667,D0054,绿园区
702,14,414,863,47.70925,54.74033333,D0018,绿园区
703,4,148,335,42.835,46.39666667,D0026,绿园区
704,4,143,444,39.86225,46.93133333,D0054,绿园区
705,3,312,651,47.88375,44.97266667,D0004,绿园区
706,3,288,737,49.05525,47.89233333,D0034,绿园区
707,2,164,400,48.22775,46.55633333,D0029,绿园区
708,20,1053,2379,48.798,49.73633333,D0036,绿园区
709,5,303,685,43.92475,52.18033333,D0036,绿园区
710,2,180,376,49.0415,50.28066667,D0018,绿园区
711,9,574,1297,44.40025,54.396,D0036,绿园区
712,5,401,836,47.035,53.45466667,D0018,绿园区
713,7,478,1158,46.557,57.35133333,D0001,绿园区
714,2,150,338,48.54425,50.499,D0036,绿园区
715,5,224,461,43.18125,51.41566667,D0009,绿园区
716,15,662,1579,34.186,59.42633333,D0043,绿园区
717,14,723,1487,34.07625,51.62566667,D0009,绿园区
718,12,999,2284,29.758,45.55,D0057,绿园区
719,7,390,802,42.068,48.85766667,D0009,绿园区
720,5,210,653,38.392,48.46,D0054,绿园区
721,4,951,2321,47.70975,51.87433333,D0029,绿园区
722,22,2635,6792,58.87725,20.30733333,B0032,南关区
723,4,944,2033,53.2295,15.72,B0037,南关区
724,11,1294,4657,47.00275,15.96,B0034,南关区
725,10,1556,4010,58.04325,20.37033333,B0032,南关区
726,51,1900,3996,61.0925,28.23733333,B0030,南关区
727,23,1708,3593,61.0685,28.92033333,B0030,南关区
728,17,3749,11619,64.24525,51.30166667,B0059,南关区
729,7,820,2952,48.184,17.131,B0034,南关区
730,9,1026,3693,47.98375,17.64266667,B0034,南关区
731,38,1264,2589,58.717,29.45033333,B0031,南关区
732,111,4331,8874,58.24575,26.51266667,B0031,南关区
733,12,1211,3572,44.524,15.18066667,B0068,南关区
734,8,704,1823,62.71325,47.91733333,B0026,南关区
735,12,1310,2821,53.8125,13.76533333,B0037,南关区
736,33,4154,8543,61.383,46.54566667,B0028,南关区
737,9,863,1858,54.49975,15.844,B0037,南关区
738,36,1654,3389,59.00175,31.381,B0032,南关区
739,4,855,1824,52.0875,22.01333333,B0060,南关区
740,9,615,1593,62.6875,47.56866667,B0026,南关区
741,11,1299,2748,53.8475,25.83,B0029,南关区
742,9,452,951,63.2355,28.249,B0030,南关区
743,46,3218,6704,63.07,45.26633333,B0006,南关区
744,13,982,3535,46.068,15.053,B0034,南关区
745,4,885,1905,52.3705,15.446,B0037,南关区
746,12,1578,3761,60.36625,44.34566667,B0014,南关区
747,12,1098,3952,48.4625,16.72766667,B0034,南关区
748,45,2787,6034,58.8165,45.45166667,B0010,南关区
749,42,3602,10083,61.184,42.87033333,B0003,南关区
750,11,1520,4166,57.55125,29.741,B0002,南关区
751,30,2798,6610,60.99975,44.88633333,B0017,南关区
752,9,919,3308,45.30725,15.04866667,B0034,南关区
753,7,1108,2364,52.63575,22.80233333,B0060,南关区
754,9,956,2058,52.3965,14.13666667,B0037,南关区
755,8,583,1256,53.06475,14.16266667,B0037,南关区
756,7,495,1013,58.91875,41.16433333,B0018,南关区
757,10,781,1681,53.79,15.01333333,B0037,南关区
758,46,4612,15132,59.60875,46.636,B0001,南关区
759,23,2049,4317,59.51425,44.19433333,B0005,南关区
760,9,1043,2155,60.21325,42.55733333,B0019,南关区
761,4,692,2490,50.979,17.443,B0034,南关区
762,13,1168,2471,55.169,26.97433333,B0029,南关区
763,41,3139,8203,63.02075,35.28866667,B0001,南关区
764,13,2647,5601,55.035,26.23,B0029,南关区
765,9,875,2632,63.04325,48.375,B0025,南关区
766,7,1683,3540,64.125,50.87366667,B0027,南关区
767,5,366,1029,48.184,17.131,B0038,南关区
768,19,1036,2179,61.261,29.957,B0030,南关区
769,13,1078,2417,48.7465,20.308,B0065,南关区
770,6,623,1606,60.5765,21.277,B0032,南关区
771,38,1965,4018,56.76675,39.19433333,B0018,南关区
772,5,678,1460,52.34425,15.68133333,B0037,南关区
773,9,1274,3418,60.38975,42.15466667,B0023,南关区
774,10,846,2863,63.724,47.097,B0052,南关区
775,10,1013,3646,50.0955,13.195,B0034,南关区
776,10,532,1119,62.503,28.129,B0030,南关区
777,21,1690,3514,64.289,52.57,B0042,南关区
778,13,1168,3011,58.535,28.31733333,B0032,南关区
779,10,1235,3643,40.74,18.33666667,B0068,南关区
780,3,501,1035,59.0965,40.424,B0019,南关区
781,14,1108,3441,59.77975,45.101,B0013,南关区
782,20,533,1128,55.38375,26.08366667,B0029,南关区
783,8,776,1603,59.4,42.12466667,B0019,南关区
784,18,1252,3925,57.4845,47.95033333,B0008,南关区
785,8,398,1026,59.50625,28.52266667,B0032,南关区
786,8,426,1374,56.80175,35.416,B0049,南关区
787,16,1175,2367,53.8475,25.83,B0036,南关区
788,11,884,3182,50.0845,15.09133333,B0034,南关区
789,15,1116,4159,57.55275,42.071,B0007,南关区
790,47,2819,6040,57.609,46.876,B0044,南关区
791,4,297,625,63.7995,51.43533333,B0027,南关区
792,11,371,1335,47.7525,18.67966667,B0034,南关区
793,4,389,795,58.448,36.50666667,B0049,南关区
794,25,2282,6226,58.52725,48.54166667,B0011,南关区
795,4,419,881,59.3895,41.34333333,B0024,南关区
796,14,882,1855,62.80575,30.866,B0030,南关区
797,4,622,1327,50.7995,16.389,B0060,南关区
798,1,596,2491,56.732,47.00333333,B0004,南关区
799,32,2468,6833,58.184,43.40033333,B0022,南关区
800,6,404,814,53.156,26.024,B0036,南关区
801,3,307,791,58.57475,21.70666667,B0032,南关区
802,10,582,1223,60.779,43.417,B0024,南关区
803,16,2772,5628,64.12225,53.14633333,B0001,南关区
804,37,1149,3002,62.68475,32.789,B0001,南关区
805,15,958,2015,60.73725,30.607,B0030,南关区
806,6,646,2003,61.478,46.24933333,B0016,南关区
807,13,1169,2457,58.73275,41.56633333,B0024,南关区
808,5,399,804,54.082,26.102,B0036,南关区
809,7,513,1151,49.2925,12.4,B0065,南关区
810,7,458,1180,59.00575,28.75466667,B0032,南关区
811,9,494,1354,57.723,28.92866667,B0002,南关区
812,12,803,2998,57.784,45.37566667,B0039,南关区
813,6,593,1943,58.88,40.56833333,B0015,南关区
814,13,1060,2770,61.904,34.556,B0001,南关区
815,17,1305,2853,60.83075,48.741,B0012,南关区
816,19,1833,4501,59.675,43.16666667,B0009,南关区
817,12,902,2141,63.57475,48.45166667,B0054,南关区
818,8,422,1346,60.7635,40.76966667,B0020,南关区
819,5,515,1126,60.856,45.93366667,B0012,南关区
820,5,598,1908,59.69275,41.523,B0020,南关区
821,8,908,2036,48.36125,13.20366667,B0065,南关区
822,9,753,1689,46.873,14.12833333,B0065,南关区
823,5,595,1631,56.85025,30.65833333,B0002,南关区
824,17,1067,2788,62.803,36.749,B0001,南关区
825,4,233,667,55.748,25.55833333,B0033,南关区
826,9,610,1229,54.64825,27.383,B0036,南关区
827,8,768,1979,60.66,21.59266667,B0032,南关区
828,1,333,1300,61.44175,46.14133333,B0043,南关区
829,7,1853,4733,59.84175,48.36733333,B0021,南关区
830,10,875,2286,63.38075,39.16133333,B0001,南关区
831,7,541,1414,63.29675,38.66633333,B0001,南关区
832,9,708,1825,59.6535,21.963,B0032,南关区
833,1,99,387,63.35975,53.39933333,B0043,南关区
834,2,280,597,50.962,17.20866667,B0060,南关区
835,5,434,1128,57.406,43.26833333,B0040,南关区
836,16,1314,3119,63.3475,41.18066667,B0054,南关区
837,11,440,1206,56.9265,31.782,B0002,南关区
838,1,142,366,59.74525,30.17566667,B0002,南关区
839,10,632,2038,56.35425,33.75,B0049,南关区
840,2,233,609,60.8405,42.01833333,B0001,南关区
841,17,1477,3860,63.9025,48.83466667,B0056,南关区
842,10,2059,5380,59.691,50.18366667,B0049,南关区
843,16,1082,2827,63.184,46.74033333,B0056,南关区
844,4,428,1521,57.9675,49.12133333,B0041,南关区
845,9,618,1286,61.5525,40.77,B0057,南关区
846,9,871,1822,63.21975,39.87466667,B0056,南关区
847,20,493,1105,49.6935,20.04133333,B0065,南关区
848,16,474,1011,50.9935,19.41666667,B0060,南关区
849,21,1170,2435,63.61475,35.74833333,B0057,南关区
850,6,467,1378,43.672,18.61066667,B0068,南关区
851,1,47,129,59.2075,30.477,B0002,南关区
852,1,120,329,58.28475,29.86866667,B0002,南关区
853,7,558,1167,63.5545,47.26533333,B0056,南关区
854,7,833,1743,62.88925,42.43166667,B0057,南关区
855,8,291,939,58.8175,40.46,B0049,南关区
856,4,291,586,54.15325,25.212,B0036,南关区
857,9,547,1173,59.83975,21.05766667,B0064,南关区
858,7,423,949,45.765,18.792,B0065,南关区
859,7,500,1370,57.44675,30.38333333,B0002,南关区
860,6,382,1232,60.36675,45.57766667,B0049,南关区
861,18,1444,4657,58.68,46.31233333,B0049,南关区
862,16,406,910,47.937,19.63966667,B0065,南关区
863,17,840,2478,40.74,18.33666667,B0068,南关区
864,7,278,762,60.19575,30.202,B0002,南关区
865,3,296,619,62.654,42.513,B0057,南关区
866,4,274,751,57.40925,28.75233333,B0048,南关区
867,7,470,1516,58.3725,42.08,B0049,南关区
868,7,209,617,43.68825,17.48133333,B0068,南关区
869,10,722,2328,59.38525,44.89466667,B0045,南关区
870,8,710,1478,61.33425,37.90866667,B0057,南关区
871,13,708,2283,59.861,32.91966667,B0051,南关区
872,5,407,918,57.33025,40.653,B0045,南关区
873,5,414,958,59.9795,30.618,B0051,南关区
874,6,866,1848,57.95,15.84066667,B0060,南关区
875,4,682,1427,62.685,45.01933333,B0057,南关区
876,7,373,776,62.46725,28.652,B0057,南关区
877,4,578,1210,61.74875,44.64633333,B0057,南关区
878,3,188,393,63.66125,38.492,B0058,南关区
879,11,1582,3293,62.9275,46.301,B0058,南关区
880,21,891,1854,61.083,35.01933333,B0051,南关区
881,5,316,713,58.1115,41.757,B0045,南关区
882,4,289,583,56.10175,24.356,B0061,南关区
883,1,471,951,51.093,17.03233333,B0061,南关区
884,11,1377,3105,60.97825,48.11933333,B0046,南关区
885,11,352,773,59.08975,42.16866667,B0051,南关区
886,9,737,2083,48.7465,20.308,B0067,南关区
887,8,515,1132,57.90675,46.15566667,B0051,南关区
888,6,171,345,50.969,15.82433333,B0061,南关区
889,1,517,1558,61.87825,43.56133333,B0058,南关区
890,8,279,613,60.09075,41.80533333,B0051,南关区
891,3,352,1061,61.5525,41.66466667,B0058,南关区
892,10,446,980,57.403,42.29333333,B0051,南关区
893,9,358,829,56.715,41.783,B0051,南关区
894,4,343,905,56.031,26.89033333,B0048,南关区
895,9,349,921,56.995,30.291,B0048,南关区
896,9,474,1097,58.49525,43.262,B0051,南关区
897,4,328,989,62.49625,42.09933333,B0058,南关区
898,9,504,1166,56.72075,41.53466667,B0047,南关区
899,1,496,1148,56.87475,40.29633333,B0047,南关区
900,21,1138,2634,58.55,43.974,B0047,南关区
901,9,335,677,54.49975,15.844,B0062,南关区
902,10,416,963,57.554,40.523,B0047,南关区
903,6,482,1115,57.6575,41.255,B0047,南关区
904,10,848,1962,61.07625,34.37433333,B0048,南关区
905,5,321,734,56.7565,40.70633333,B0066,南关区
906,2,289,661,59.66975,42.70133333,B0066,南关区
907,6,155,353,49.2925,12.4,B0062,南关区
908,6,321,734,57.55,42.09033333,B0066,南关区
909,7,446,1019,58.2375,41.21033333,B0066,南关区
910,15,480,1357,46.926,19.31933333,B0067,南关区
911,8,510,1537,61.5905,35.453,B0058,南关区
912,3,283,747,58.24825,28.201,B0066,南关区
913,7,742,1592,62.38825,29.36233333,B0064,南关区
914,7,565,1704,62.28325,37.57966667,B0058,南关区
915,4,207,421,58.43,49.71333333,B0055,南关区
916,2,246,741,64.55375,50.28033333,B0053,南关区
917,1,512,1627,58.8345,43.81066667,B0066,南关区
918,14,306,865,46.10125,19.24466667,B0067,南关区
919,6,362,837,60.029,19.70966667,B0035,南关区
920,8,738,1687,58.98825,42.316,B0050,南关区
921,2,438,885,59.69175,44.042,B0063,南关区
922,3,294,887,62.172,48.17266667,B0063,南关区
923,6,220,630,54.59225,24.74166667,B0033,南关区
924,10,998,3152,81.1755,41.35233333,G0007,经开区
925,4,1460,3461,76.95175,28.307,G0025,经开区
926,18,1932,4731,74.598,43.46866667,G0015,经开区
927,10,1333,3011,67.058,34.474,G0029,经开区
928,31,1765,3918,74.37425,42.40866667,G0018,经开区
929,26,2190,6535,66.915,29.10866667,G0032,经开区
930,21,2617,6705,78.18575,30.446,G0019,经开区
931,10,932,2103,74.52675,32.81366667,G0014,经开区
932,27,1696,5195,68.33925,31.20966667,G0031,经开区
933,4,463,1045,74.35175,27.54733333,G0014,经开区
934,3,821,2197,81.09575,42.207,G0012,经开区
935,12,1283,3915,71.85425,32.15866667,G0038,经开区
936,9,859,2294,84.06125,45.678,G0010,经开区
937,5,583,1316,75.28,28.28433333,G0014,经开区
938,3,335,749,76.21825,28.571,G0037,经开区
939,3,422,872,82.018,41.81466667,G0011,经开区
940,14,1089,3121,66.98975,32.618,G0030,经开区
941,12,962,2429,78.7295,44.97,G0006,经开区
942,26,1463,3503,68.45575,30.01333333,G0024,经开区
943,10,836,1794,65.873,33.61466667,G0033,经开区
944,10,782,2844,66.565,36.98566667,G0002,经开区
945,13,1039,2346,74.68875,32.01433333,G0014,经开区
946,3,293,701,68.00125,34.63666667,G0024,经开区
947,8,1138,2874,79.5875,46.18133333,G0006,经开区
948,17,1500,3096,81.40475,40.50133333,G0011,经开区
949,4,477,1059,72.17725,32.94766667,G0018,经开区
950,8,1106,2455,74.57675,39.90533333,G0017,经开区
951,3,341,1100,80.08125,41.509,G0008,经开区
952,7,452,1644,66.8035,35.66866667,G0002,经开区
953,10,1676,3460,81.698,47.22766667,G0011,经开区
954,10,706,1457,82.76325,41.12466667,G0011,经开区
955,2,259,698,67.83575,37.15166667,G0028,经开区
956,2,376,1004,80.3915,43.32866667,G0042,经开区
957,19,1221,2822,65.79525,31.757,G0001,经开区
958,10,651,1504,65.98625,34.74033333,G0001,经开区
959,22,1779,4015,74.44875,33.206,G0014,经开区
960,14,1533,3375,78.4925,45.11033333,G0016,经开区
961,2,251,580,66.56625,33.24933333,G0001,经开区
962,3,460,1228,83.05725,43.45733333,G0010,经开区
963,2,147,376,77.4855,29.286,G0019,经开区
964,6,674,1372,74.57675,39.90533333,G0017,经开区
965,26,1370,3017,74.432,41.09266667,G0016,经开区
966,17,1366,3649,82.8455,42.669,G0010,经开区
967,7,598,1218,77.0035,42.14333333,G0017,经开区
968,3,281,650,66.81575,31.60066667,G0001,经开区
969,9,707,1904,67.68025,29.39666667,G0028,经开区
970,7,852,1876,78.4925,45.11033333,G0016,经开区
971,7,709,1437,65.716,36.27066667,G0036,经开区
972,6,718,1456,68.6825,28.43433333,G0036,经开区
973,2,246,657,83.6285,44.30166667,G0010,经开区
974,4,506,1297,78.07125,32.70133333,G0019,经开区
975,3,227,607,82.65475,41.606,G0010,经开区
976,4,311,830,82.12225,41.132,G0010,经开区
977,6,380,879,65.06775,31.43433333,G0035,经开区
978,4,319,852,82.57525,42.115,G0010,经开区
979,2,459,935,74.2425,34.58366667,G0017,经开区
980,4,597,1335,71.48275,32.95166667,G0037,经开区
981,16,1262,3371,84.50575,42.37433333,G0010,经开区
982,8,456,1181,65.095,30.35333333,G0034,经开区
983,10,432,951,75.87675,42.99,G0016,经开区
984,21,1040,2117,74.8555,39.23166667,G0037,经开区
985,2,359,791,76.58,43.90633333,G0019,经开区
986,2,392,877,73.015,27.62,G0037,经开区
987,4,559,1138,73.7315,35.231,G0037,经开区
988,5,437,978,72.25275,35.40266667,G0026,经开区
989,3,260,582,74.1505,33.08766667,G0025,经开区
990,2,125,326,73.918,42.958,G0005,经开区
991,4,233,597,75.781,42.19166667,G0019,经开区
992,13,1172,2419,76.65775,41.20333333,G0040,经开区
993,1,151,403,82.732,43.37266667,G0010,经开区
994,1,61,139,65.81775,30.251,G0003,经开区
995,4,265,592,75.4705,35.132,G0025,经开区
996,1,132,268,67.734,28.97633333,G0036,经开区
997,1,166,337,67.3905,36.21966667,G0027,经开区
998,3,269,602,70.7445,32.17133333,G0027,经开区
